100;0;0
200;0;0
300;0;0
400;0;0
500;2;0.004
600;2;0.00333333
700;2;0.00285714
800;2;0.0025
900;2;0.00222222
1000;2;0.002
1100;3;0.00272727
1200;4;0.00333333
1300;4;0.00307692
1400;4;0.00285714
1500;4;0.00266667
1600;5;0.003125
1700;5;0.00294118
1800;5;0.00277778
1900;5;0.00263158
2000;5;0.0025
2100;5;0.00238095
2200;5;0.00227273
2300;5;0.00217391
2400;5;0.00208333
2500;5;0.002
2600;5;0.00192308
2700;5;0.00185185
2800;5;0.00178571
2900;5;0.00172414
3000;5;0.00166667
3100;5;0.0016129
3200;5;0.0015625
3300;5;0.00151515
3400;5;0.00147059
3500;5;0.00142857
3600;5;0.00138889
3700;5;0.00135135
3800;5;0.00131579
3900;6;0.00153846
4000;7;0.00175
4100;7;0.00170732
4200;7;0.00166667
4300;7;0.00162791
4400;7;0.00159091
4500;7;0.00155556
4600;7;0.00152174
4700;7;0.00148936
4800;7;0.00145833
4900;7;0.00142857
5000;7;0.0014
5100;7;0.00137255
5200;8;0.00153846
5300;8;0.00150943
5400;8;0.00148148
5500;9;0.00163636
5600;10;0.00178571
5700;10;0.00175439
5800;10;0.00172414
5900;10;0.00169492
6000;10;0.00166667
6100;10;0.00163934
6200;11;0.00177419
6300;11;0.00174603
6400;11;0.00171875
6500;12;0.00184615
6600;12;0.00181818
6700;12;0.00179104
6800;12;0.00176471
6900;12;0.00173913
7000;12;0.00171429
7100;12;0.00169014
7200;12;0.00166667
7300;12;0.00164384
7400;12;0.00162162
7500;12;0.0016
7600;12;0.00157895
7700;12;0.00155844
7800;12;0.00153846
7900;12;0.00151899
8000;12;0.0015
8100;12;0.00148148
8200;12;0.00146341
8300;12;0.00144578
8400;12;0.00142857
8500;12;0.00141176
8600;12;0.00139535
8700;12;0.00137931
8800;13;0.00147727
8900;13;0.00146067
9000;13;0.00144444
9100;13;0.00142857
9200;13;0.00141304
9300;13;0.00139785
9400;13;0.00138298
9500;13;0.00136842
9600;14;0.00145833
9700;14;0.0014433
9800;14;0.00142857
9900;14;0.00141414
10000;14;0.0014
